module_code,presentation,module_presentation_length,course_key
AAA,2013J,268,AAA_2013J
AAA,2014J,269,AAA_2014J
BBB,2013J,268,BBB_2013J
BBB,2014J,262,BBB_2014J
BBB,2013B,240,BBB_2013B
BBB,2014B,234,BBB_2014B
CCC,2014J,269,CCC_2014J
CCC,2014B,241,CCC_2014B
DDD,2013J,261,DDD_2013J
DDD,2014J,262,DDD_2014J
DDD,2013B,240,DDD_2013B
DDD,2014B,241,DDD_2014B
EEE,2013J,268,EEE_2013J
EEE,2014J,269,EEE_2014J
EEE,2014B,241,EEE_2014B
FFF,2013J,268,FFF_2013J
FFF,2014J,269,FFF_2014J
FFF,2013B,240,FFF_2013B
FFF,2014B,241,FFF_2014B
GGG,2013J,261,GGG_2013J
GGG,2014J,269,GGG_2014J
GGG,2014B,241,GGG_2014B
