id_student,gender,region,highest_education,imd_band,age_band,disability,studied_credits,num_of_prev_attempts,final_result
3733,M,South Region,HE Qualification,90-100%,55<=,N,60,0,Withdrawn
6516,M,Scotland,HE Qualification,80-90%,55<=,N,60,0,Pass
8462,M,London Region,HE Qualification,30-40%,55<=,N,90,1,Withdrawn
11391,M,East Anglian Region,HE Qualification,90-100%,55<=,N,240,0,Pass
23629,F,East Anglian Region,Lower Than A Level,20-30%,0-35,N,60,2,Fail
23632,F,East Anglian Region,A Level or Equivalent,40-50%,0-35,N,60,0,Withdrawn
23698,F,East Anglian Region,A Level or Equivalent,50-60%,0-35,N,120,0,Pass
23798,M,Wales,A Level or Equivalent,50-60%,0-35,N,60,0,Distinction
24186,F,Yorkshire Region,Lower Than A Level,10-20,0-35,Y,30,0,Pass
24213,F,East Anglian Region,A Level or Equivalent,40-50%,0-35,N,90,1,Pass
24391,M,East Midlands Region,A Level or Equivalent,80-90%,0-35,N,30,0,Distinction
24734,F,South Region,Lower Than A Level,60-70%,0-35,N,60,0,Pass
25107,F,East Anglian Region,Lower Than A Level,20-30%,0-35,N,120,0,Pass
25150,M,North Western Region,HE Qualification,90-100%,0-35,N,60,0,Pass
25261,F,Scotland,HE Qualification,40-50%,0-35,N,60,0,Withdrawn
25572,F,London Region,HE Qualification,10-20,0-35,N,150,2,Withdrawn
25629,F,Scotland,Lower Than A Level,20-30%,0-35,N,120,1,Withdrawn
25997,F,London Region,A Level or Equivalent,20-30%,0-35,N,60,2,Withdrawn
26023,M,North Western Region,Lower Than A Level,10-20,35-55,N,30,0,Pass
26192,F,East Anglian Region,A Level or Equivalent,60-70%,35-55,N,60,0,Distinction
26211,F,London Region,HE Qualification,20-30%,35-55,N,90,0,Pass
26247,M,South East Region,HE Qualification,80-90%,35-55,N,60,2,Fail
26269,M,Yorkshire Region,Lower Than A Level,0-10%,35-55,N,60,0,Withdrawn
26315,F,East Anglian Region,Lower Than A Level,60-70%,35-55,N,60,1,Pass
26677,M,West Midlands Region,A Level or Equivalent,0-10%,0-35,N,60,4,Withdrawn
26734,M,South West Region,A Level or Equivalent,20-30%,0-35,Y,90,0,Fail
26915,M,Wales,Lower Than A Level,0-10%,35-55,N,30,0,Fail
27116,M,Yorkshire Region,HE Qualification,70-80%,0-35,N,120,0,Distinction
27189,F,South Region,Lower Than A Level,10-20,35-55,N,120,0,Fail
27417,M,South West Region,Lower Than A Level,60-70%,0-35,N,60,1,Withdrawn
27457,F,South East Region,Lower Than A Level,40-50%,35-55,N,60,0,Withdrawn
27683,M,London Region,HE Qualification,30-40%,0-35,N,60,0,Pass
27759,M,North Western Region,Lower Than A Level,40-50%,35-55,Y,120,0,Fail
27780,M,Wales,A Level or Equivalent,10-20,0-35,N,150,0,Pass
27891,M,Scotland,Lower Than A Level,0-10%,0-35,Y,120,4,Fail
27935,F,East Anglian Region,Lower Than A Level,30-40%,0-35,Y,60,0,Fail
28046,F,Yorkshire Region,HE Qualification,10-20,35-55,N,70,0,Fail
28061,M,Yorkshire Region,Lower Than A Level,40-50%,35-55,N,60,0,Pass
28149,M,East Anglian Region,A Level or Equivalent,60-70%,35-55,N,60,0,Withdrawn
28400,F,Scotland,HE Qualification,20-30%,35-55,N,60,0,Pass
28418,F,West Midlands Region,A Level or Equivalent,20-30%,0-35,N,30,0,Fail
28770,M,Scotland,Lower Than A Level,20-30%,0-35,N,30,0,Fail
28787,M,South East Region,Lower Than A Level,80-90%,35-55,N,60,0,Pass
28808,F,South Region,A Level or Equivalent,90-100%,0-35,N,60,0,Fail
28897,M,South West Region,A Level or Equivalent,10-20,0-35,N,120,0,Distinction
28952,F,Yorkshire Region,Lower Than A Level,60-70%,0-35,N,60,0,Withdrawn
29144,M,South Region,Lower Than A Level,60-70%,0-35,N,120,0,Fail
29335,M,West Midlands Region,Lower Than A Level,40-50%,0-35,N,60,0,Distinction
29411,M,East Midlands Region,A Level or Equivalent,80-90%,0-35,N,150,0,Pass
29420,M,Wales,A Level or Equivalent,70-80%,0-35,N,30,0,Pass
29639,M,North Region,Lower Than A Level,Unknown,0-35,N,30,0,Pass
29764,M,East Anglian Region,A Level or Equivalent,50-60%,0-35,N,90,0,Distinction
29769,M,East Midlands Region,A Level or Equivalent,40-50%,0-35,N,60,1,Fail
29820,M,East Anglian Region,HE Qualification,40-50%,0-35,N,60,0,Pass
29985,F,South Region,Lower Than A Level,20-30%,0-35,N,30,0,Pass
30091,F,South West Region,A Level or Equivalent,10-20,0-35,Y,60,0,Pass
30096,M,East Anglian Region,HE Qualification,90-100%,0-35,N,60,0,Distinction
30268,F,North Western Region,A Level or Equivalent,30-40%,35-55,Y,60,0,Withdrawn
30531,M,East Anglian Region,Lower Than A Level,50-60%,0-35,N,180,1,Fail
30549,M,South East Region,A Level or Equivalent,0-10%,35-55,N,60,2,Fail
30850,F,Scotland,HE Qualification,60-70%,35-55,N,120,0,Distinction
31014,F,West Midlands Region,Lower Than A Level,80-90%,35-55,N,120,0,Withdrawn
31107,M,South West Region,Lower Than A Level,40-50%,35-55,N,30,0,Pass
31161,M,South Region,Post Graduate Qualification,90-100%,55<=,N,105,0,Distinction
31173,M,North Western Region,A Level or Equivalent,40-50%,35-55,N,60,1,Fail
31205,M,East Midlands Region,Lower Than A Level,20-30%,35-55,Y,30,0,Fail
31269,F,East Midlands Region,A Level or Equivalent,30-40%,35-55,N,120,1,Withdrawn
