id_student,course_key,avg_score,assessments_taken,total_weight,weighted_points,last_submission_day,weighted_avg_score,pass_flag,at_risk_flag,total_clicks,active_days,first_activity_day,last_activity_day,engagement_score,module_code,presentation,module_presentation_length
6516,AAA_2014J,61.8,5,100.0,6350.0,210,63.5,True,False,2715,159.0,-23,269,166.90691548867858,AAA,2014J,269
8462,DDD_2013J,87.66666666666667,3,40.0,3490.0,85,87.25,True,False,634,56.0,-6,118,62.45362499889269,DDD,2013J,261
8462,DDD_2014J,86.5,4,50.0,4300.0,-1,86.0,True,False,9,1.0,10,10,3.302585092994046,DDD,2014J,262
11391,AAA_2013J,82.0,5,100.0,8240.0,212,82.4,True,False,922,40.0,-5,253,46.82762923450285,AAA,2013J,268
23629,BBB_2013B,82.5,4,25.0,1669.0,95,66.76,True,False,153,16.0,-6,87,21.036952602413628,BBB,2013B,240
23698,CCC_2014J,74.44444444444444,9,200.0,14997.0,243,74.985,True,False,886,70.0,-18,231,76.78784498230958,CCC,2014J,269
23798,BBB_2013J,93.9090909090909,11,100.0,8924.0,210,89.24,True,False,550,77.0,-4,267,83.31173480915291,BBB,2013J,268
24213,DDD_2014B,76.28571428571429,7,200.0,13640.0,236,68.2,True,False,1932,118.0,-11,237,125.56682847920833,DDD,2014B,241
24734,AAA_2014J,46.8,5,100.0,4750.0,215,47.5,False,True,486,56.0,-18,252,62.18826412308259,AAA,2014J,269
25107,BBB_2013B,77.36363636363636,11,100.0,6051.0,189,60.51,True,False,2498,115.0,-9,238,122.82364593083496,BBB,2013B,240
25150,EEE_2014B,84.25,4,100.0,8272.0,151,82.72,True,False,2079,122.0,-18,230,129.64012317269535,EEE,2014B,241
25261,CCC_2014J,78.0,1,2.0,156.0,21,78.0,True,True,981,39.0,-18,66,45.88959130835447,CCC,2014J,269
25572,DDD_2014J,55.0,2,15.0,700.0,41,46.666666666666664,False,True,111,23.0,-23,93,27.718498871295093,DDD,2014J,262
25997,BBB_2014B,86.5,2,19.0,1414.0,49,74.42105263157895,True,False,9,1.0,35,35,3.302585092994046,BBB,2014B,234
26192,AAA_2014J,86.2,5,100.0,8630.0,213,86.3,True,False,2161,118.0,-14,254,125.67878899819915,AAA,2014J,269
