id_student,course_key,total_clicks,active_days,first_activity_day,last_activity_day,engagement_score
6516,AAA_2014J,2715,159,-23,269,166.90691548867858
8462,DDD_2013J,634,56,-6,118,62.45362499889269
8462,DDD_2014J,9,1,10,10,3.302585092994046
11391,AAA_2013J,922,40,-5,253,46.82762923450285
23629,BBB_2013B,153,16,-6,87,21.036952602413628
23698,CCC_2014J,886,70,-18,231,76.78784498230958
23798,BBB_2013J,550,77,-4,267,83.31173480915291
24186,GGG_2014B,142,23,-4,240,27.96284463025991
24213,DDD_2014B,1932,118,-11,237,125.56682847920833
24391,GGG_2013J,671,58,2,249,64.51025834052315
24734,AAA_2014J,486,56,-18,252,62.18826412308259
25107,BBB_2013B,2498,115,-9,238,122.82364593083496
25150,EEE_2014B,2079,122,-18,230,129.64012317269535
25261,CCC_2014J,981,39,-18,66,45.88959130835447
25572,DDD_2014J,111,23,-23,93,27.718498871295093
25629,BBB_2014B,16,3,-8,3,5.833213344056216
25997,BBB_2014B,9,1,35,35,3.302585092994046
26023,GGG_2013J,725,84,-14,253,90.5875500148248
26192,AAA_2014J,2161,118,-14,254,125.67878899819915
26211,FFF_2014B,14985,248,-18,241,257.61487171092426
26247,FFF_2013J,454,18,-11,26,24.12029741895095
26315,BBB_2014J,2378,91,-9,257,98.77443551030296
26734,BBB_2014J,196,29,-9,133,34.28320372873799
26915,EEE_2013J,58,7,-11,31,11.077537443905719
27116,CCC_2014J,1754,126,-12,269,133.47022413589997
27189,FFF_2014B,2596,53,4,227,60.86211221166275
27417,DDD_2013J,390,30,-11,183,35.96870755998537
27417,DDD_2014J,98,12,-24,162,16.59511985013459
27683,FFF_2014B,2085,50,-6,232,57.64300363556072
27759,BBB_2013J,334,46,0,263,51.814130531825064
27780,EEE_2014B,548,41,-18,227,47.30809844150953
27891,BBB_2013B,270,21,-6,124,26.602118820879703
27891,BBB_2014B,40,3,0,86,6.713572066704308
27935,DDD_2013J,777,54,-18,150,60.65672652417839
28046,DDD_2013J,642,51,-18,233,57.46614472423762
28061,AAA_2014J,1549,148,-24,269,155.3460102099133
28400,AAA_2013J,1409,80,-10,239,87.25134498337222
28418,CCC_2014B,319,22,-5,172,27.768320995793772
28787,CCC_2014J,612,59,-17,268,65.41836493593621
28808,FFF_2014B,222,18,-18,85,23.40717177146012
28897,FFF_2014B,3297,135,-18,226,143.10107150311956
28952,CCC_2014J,99,12,-11,54,16.605170185988094
29144,BBB_2013B,1855,123,-6,226,130.52617891334614
29335,FFF_2013J,8596,230,-18,267,239.05916858417444
29411,CCC_2014J,310,19,-10,67,24.739792912179233
29411,DDD_2013J,816,77,-18,235,83.70563909486
29420,CCC_2014J,788,49,-12,245,55.67076632084587
29639,CCC_2014J,6700,245,-18,269,253.81001204797317
29639,EEE_2014B,3418,212,-18,237,220.1371033896393
29764,CCC_2014B,2736,89,-18,237,96.91461770904068
29769,FFF_2013J,1586,71,-18,167,78.3696007205264
29820,CCC_2014B,980,71,-18,227,77.88857245956537
29820,EEE_2014B,1431,106,-18,227,113.26682734752059
29985,GGG_2014B,711,52,-6,238,58.568077911411976
30091,BBB_2013J,1305,64,-1,243,71.17472430983638
30096,CCC_2014J,678,54,-18,239,60.5206211275587
30268,AAA_2013J,260,12,-10,12,17.564520407322693
30531,FFF_2014B,1492,54,-16,220,61.30854279753919
30549,DDD_2013J,135,21,-17,147,25.912654885736053
