id_student,course_key,avg_score,assessments_taken,total_weight,weighted_points,last_submission_day,weighted_avg_score,pass_flag,at_risk_flag
6516,AAA_2014J,61.8,5,100.0,6350.0,210,63.5,True,False
8462,DDD_2013J,87.66666666666667,3,40.0,3490.0,85,87.25,True,False
8462,DDD_2014J,86.5,4,50.0,4300.0,-1,86.0,True,False
11391,AAA_2013J,82.0,5,100.0,8240.0,212,82.4,True,False
23629,BBB_2013B,82.5,4,25.0,1669.0,95,66.76,True,False
23698,CCC_2014J,74.44444444444444,9,200.0,14997.0,243,74.985,True,False
23798,BBB_2013J,93.9090909090909,11,100.0,8924.0,210,89.24,True,False
24213,DDD_2014B,76.28571428571429,7,200.0,13640.0,236,68.2,True,False
24734,AAA_2014J,46.8,5,100.0,4750.0,215,47.5,False,True
25107,BBB_2013B,77.36363636363636,11,100.0,6051.0,189,60.51,True,False
25150,EEE_2014B,84.25,4,100.0,8272.0,151,82.72,True,False
25261,CCC_2014J,78.0,1,2.0,156.0,21,78.0,True,True
25572,DDD_2014J,55.0,2,15.0,700.0,41,46.666666666666664,False,True
25997,BBB_2014B,86.5,2,19.0,1414.0,49,74.42105263157895,True,False
26192,AAA_2014J,86.2,5,100.0,8630.0,213,86.3,True,False
26211,FFF_2014B,80.4,5,100.0,7950.0,168,79.5,True,False
26247,FFF_2013J,88.0,1,12.5,1100.0,18,88.0,True,True
26315,BBB_2014J,64.0,4,100.0,6380.0,201,63.8,True,False
26734,BBB_2014J,61.5,2,30.0,1850.0,131,61.666666666666664,True,False
27116,CCC_2014J,93.33333333333333,9,200.0,18802.0,243,94.01,True,False
27189,FFF_2014B,40.4,5,100.0,3800.0,171,38.0,False,True
27417,DDD_2013J,41.0,4,60.0,2235.0,144,37.25,False,True
27417,DDD_2014J,60.25,4,50.0,2805.0,111,56.1,True,False
27683,FFF_2014B,71.0,5,100.0,7100.0,180,71.0,True,False
27759,BBB_2013J,76.0909090909091,11,100.0,6113.0,210,61.13,True,False
27780,EEE_2014B,60.0,3,72.0,4260.0,113,59.166666666666664,True,False
27891,BBB_2013B,69.16666666666667,6,44.0,2781.0,126,63.20454545454545,True,False
27891,BBB_2014B,69.16666666666667,6,44.0,2781.0,-1,63.20454545454545,True,False
27935,DDD_2013J,75.25,4,60.0,4497.5,127,74.95833333333333,True,False
28046,DDD_2013J,49.42857142857143,7,200.0,8990.0,237,44.95,False,True
28061,AAA_2014J,77.6,5,100.0,7740.0,215,77.4,True,False
28400,AAA_2013J,66.4,5,100.0,6540.0,212,65.4,True,False
28418,CCC_2014B,31.5,2,9.0,291.0,69,32.333333333333336,False,True
28787,CCC_2014J,53.6,5,125.0,5598.0,243,44.784,False,True
28808,FFF_2014B,70.0,2,25.0,1750.0,52,70.0,True,False
28897,FFF_2014B,87.8,5,100.0,8850.0,178,88.5,True,False
28952,CCC_2014J,59.5,2,11.0,602.0,32,54.72727272727273,True,False
29144,BBB_2013B,73.22222222222223,9,81.0,5302.0,172,65.45679012345678,True,False
29335,FFF_2013J,94.6,5,100.0,9500.0,171,95.0,True,False
29411,CCC_2014J,7.0,2,11.0,126.0,51,11.454545454545455,False,True
29411,DDD_2013J,74.14285714285714,7,200.0,13765.0,237,68.825,True,False
29420,CCC_2014J,75.25,8,191.0,12631.0,244,66.13089005235602,True,False
29639,CCC_2014J,83.77777777777777,9,200.0,16257.0,248,81.285,True,False
29639,EEE_2014B,83.75,4,100.0,8348.0,151,83.48,True,False
29764,CCC_2014B,89.33333333333333,9,200.0,18365.0,230,91.825,True,False
29769,FFF_2013J,68.75,4,75.0,4975.0,131,66.33333333333333,True,False
29820,CCC_2014B,80.22222222222223,9,200.0,16058.0,230,80.29,True,False
29820,EEE_2014B,81.5,4,100.0,7940.0,151,79.4,True,False
30091,BBB_2013J,88.0,10,82.0,6300.0,210,76.82926829268293,True,False
30096,CCC_2014J,93.55555555555556,9,200.0,18604.0,244,93.02,True,False
30531,FFF_2014B,87.0,2,25.0,2175.0,61,87.0,True,False
30549,DDD_2013J,35.0,1,10.0,350.0,25,35.0,False,True
30850,CCC_2014J,99.33333333333333,9,200.0,19924.0,244,99.62,True,False
31014,BBB_2013J,90.0,5,43.0,3595.0,102,83.6046511627907,True,False
31161,CCC_2014J,96.88888888888889,9,200.0,19708.0,244,98.54,True,False
31173,DDD_2013J,50.142857142857146,7,200.0,7712.5,242,38.5625,False,True
31269,DDD_2014B,56.0,2,22.5,1287.5,53,57.22222222222222,True,False
31296,FFF_2014J,53.6,5,100.0,5225.0,199,52.25,True,False
31600,AAA_2014J,54.8,5,100.0,5550.0,214,55.5,True,False
31604,AAA_2013J,76.0,5,100.0,7630.0,213,76.3,True,False
31663,BBB_2013B,79.27272727272727,11,100.0,6392.0,189,63.92,True,False
31849,BBB_2013J,78.0,11,100.0,6911.0,218,69.11,True,False
32221,FFF_2013J,90.0,4,75.0,6700.0,130,89.33333333333333,True,False
32327,BBB_2014J,61.0,1,10.0,610.0,53,61.0,True,True
32885,AAA_2013J,54.4,5,100.0,5500.0,222,55.0,True,False
32930,BBB_2014J,56.0,4,100.0,5530.0,201,55.3,True,False
33387,DDD_2013J,59.0,3,40.0,2335.0,88,58.375,True,False
33600,FFF_2013J,84.0,1,12.5,1050.0,17,84.0,True,True
33666,BBB_2013B,78.66666666666667,3,24.0,1794.0,60,74.75,True,False
33681,DDD_2013J,76.66666666666667,3,40.0,2955.0,100,73.875,True,False
33681,DDD_2014J,75.75,4,50.0,3505.0,-1,70.1,True,False
33796,DDD_2014J,63.714285714285715,7,200.0,10955.0,242,54.775,True,False
33897,DDD_2013J,50.0,1,10.0,500.0,23,50.0,True,True
33897,DDD_2014J,56.0,3,25.0,1430.0,-1,57.2,True,False
33915,FFF_2013B,94.6,5,100.0,9575.0,164,95.75,True,False
33930,DDD_2013J,81.33333333333333,6,180.0,13497.5,237,74.98611111111111,True,False
34068,CCC_2014J,73.33333333333333,3,18.0,1322.0,69,73.44444444444444,True,False
34087,DDD_2013J,84.66666666666667,3,40.0,3370.0,89,84.25,True,False
34087,DDD_2014J,84.25,4,50.0,4175.0,-1,83.5,True,False
34229,BBB_2013B,88.0,9,81.0,6507.0,189,80.33333333333333,True,False
34293,FFF_2014B,74.0,2,25.0,1850.0,51,74.0,True,False
34353,BBB_2013B,90.6,10,82.0,6573.0,189,80.15853658536585,True,False
34431,BBB_2013B,80.0,1,1.0,80.0,60,80.0,True,True
34653,DDD_2013J,49.0,3,50.0,2410.0,111,48.2,False,True
34662,BBB_2014J,68.0,1,10.0,680.0,53,68.0,True,True
34731,FFF_2013J,74.0,2,25.0,1850.0,47,74.0,True,False
34756,BBB_2013B,67.33333333333333,3,24.0,1353.0,60,56.375,True,False
34863,BBB_2013B,73.9090909090909,11,100.0,6322.0,193,63.22,True,False
35340,EEE_2014B,79.75,4,100.0,7816.0,152,78.16,True,False
35355,CCC_2014J,68.6,5,48.0,3073.0,147,64.02083333333333,True,False
35355,EEE_2013J,83.5,4,100.0,8320.0,158,83.2,True,False
35502,DDD_2014B,66.0,1,10.0,660.0,14,66.0,True,True
35508,CCC_2014J,81.8,5,125.0,10206.0,244,81.648,True,False
35508,EEE_2014B,93.5,4,100.0,9284.0,150,92.84,True,False
35544,FFF_2013B,83.4,5,100.0,8275.0,165,82.75,True,False
35747,FFF_2014J,54.0,1,12.5,675.0,24,54.0,True,True
35796,FFF_2014J,82.0,1,12.5,1025.0,22,82.0,True,True
35812,BBB_2013B,71.0,1,5.0,355.0,19,71.0,True,True
35860,FFF_2013B,80.33333333333333,3,50.0,3925.0,89,78.5,True,False
36347,FFF_2014B,72.75,4,75.0,5400.0,129,72.0,True,False
36385,FFF_2013B,75.0,2,25.0,1875.0,46,75.0,True,False
37298,FFF_2013B,86.25,4,75.0,6550.0,131,87.33333333333333,True,False
37622,BBB_2013J,81.9,10,99.0,7032.0,210,71.03030303030303,True,False
37652,CCC_2014J,98.0,5,125.0,12420.0,243,99.36,True,False
38053,AAA_2013J,68.0,5,100.0,6690.0,215,66.9,True,False
38234,BBB_2013J,77.71428571428571,7,62.0,4462.0,168,71.96774193548387,True,False
38711,BBB_2014J,51.333333333333336,3,65.0,3260.0,175,50.15384615384615,True,False
38941,BBB_2014B,77.0,1,5.0,385.0,13,77.0,True,True
39208,BBB_2014J,71.75,4,100.0,7160.0,200,71.6,True,False
39411,DDD_2013J,70.0,1,10.0,700.0,25,70.0,True,True
39427,DDD_2013J,84.0,1,10.0,840.0,25,84.0,True,True
39655,BBB_2013B,83.0909090909091,11,100.0,8298.0,189,82.98,True,False
39660,DDD_2014B,64.5,4,60.0,3480.0,124,58.0,True,False
39882,FFF_2014B,76.25,4,75.0,5475.0,129,73.0,True,False
40184,DDD_2013J,93.71428571428571,7,200.0,19300.0,241,96.5,True,False
40419,DDD_2013B,71.5,2,9.5,704.0,25,74.10526315789474,True,False
40419,DDD_2013J,71.57142857142857,7,200.0,13972.5,237,69.8625,True,False
40563,DDD_2013J,71.14285714285714,7,200.0,12067.5,237,60.3375,True,False
40604,CCC_2014B,68.28571428571429,7,184.0,11744.0,234,63.82608695652174,True,False
40857,FFF_2014J,86.0,1,12.5,1075.0,24,86.0,True,True
40878,FFF_2014J,88.8,5,100.0,8800.0,197,88.0,True,False
41060,DDD_2013B,82.81818181818181,11,79.0,6359.5,173,80.5,True,False
41547,BBB_2014J,52.0,4,100.0,4335.0,201,43.35,False,True
42552,FFF_2014J,74.2,5,100.0,7175.0,196,71.75,True,False
42616,FFF_2013J,74.0,5,100.0,7375.0,162,73.75,True,False
42638,CCC_2014B,68.66666666666667,9,200.0,12513.0,230,62.565,True,False
42638,EEE_2013J,80.75,4,100.0,8048.0,158,80.48,True,False
42668,FFF_2013B,77.8,5,100.0,7875.0,169,78.75,True,False
42746,CCC_2014J,95.88888888888889,9,200.0,19578.0,244,97.89,True,False
42746,FFF_2014B,93.0,5,100.0,9250.0,166,92.5,True,False
42818,DDD_2013J,39.0,1,10.0,390.0,25,39.0,False,True
43273,FFF_2013B,72.8,5,100.0,7075.0,166,70.75,True,False
43284,DDD_2013B,71.44444444444444,9,60.0,4020.0,173,67.0,True,False
43430,FFF_2013B,94.6,5,100.0,9475.0,161,94.75,True,False
43564,EEE_2013J,92.75,4,100.0,9260.0,159,92.6,True,False
43958,FFF_2013J,92.0,2,25.0,2300.0,39,92.0,True,False
43958,FFF_2014J,90.0,3,50.0,4450.0,74,89.0,True,False
45423,FFF_2014J,54.4,5,100.0,5275.0,200,52.75,True,False
45462,AAA_2013J,68.0,5,100.0,6780.0,216,67.8,True,False
45642,AAA_2013J,72.4,5,100.0,7250.0,227,72.5,True,False
45664,CCC_2014B,31.666666666666668,3,18.0,769.0,69,42.72222222222222,False,True
45664,DDD_2013B,56.15384615384615,13,197.0,9528.0,230,48.36548223350254,False,True
46016,DDD_2014J,65.0,3,25.0,1625.0,62,65.0,True,False
46148,FFF_2014B,84.2,5,100.0,8525.0,170,85.25,True,False
46605,CCC_2014B,93.55555555555556,9,200.0,19122.0,230,95.61,True,False
46705,CCC_2014J,83.71428571428571,7,78.0,5981.0,219,76.67948717948718,True,False
46753,DDD_2014B,58.5,6,180.0,8387.5,234,46.59722222222222,False,True
46812,DDD_2014J,55.0,1,5.0,275.0,20,55.0,True,True
46844,AAA_2014J,64.8,5,100.0,6650.0,214,66.5,True,False
47061,EEE_2014J,70.5,4,100.0,7020.0,169,70.2,True,False
47063,DDD_2013J,49.25,4,60.0,3007.5,123,50.125,True,False
47855,BBB_2013J,45.90909090909091,11,100.0,4477.0,-1,44.77,False,True
47861,FFF_2014J,53.4,5,100.0,4975.0,215,49.75,False,True
47891,BBB_2014J,48.5,2,30.0,1370.0,105,45.666666666666664,False,True
47924,FFF_2013J,41.0,2,25.0,1025.0,47,41.0,False,True
48040,BBB_2013J,77.27272727272727,11,100.0,6360.0,210,63.6,True,False
48152,DDD_2013J,52.166666666666664,6,180.0,8837.5,241,49.09722222222222,False,True
48503,BBB_2013J,76.8,10,82.0,6036.0,210,73.60975609756098,True,False
48635,CCC_2014J,78.0,1,2.0,156.0,21,78.0,True,True
48635,FFF_2014B,82.8,5,100.0,8325.0,170,83.25,True,False
49119,CCC_2014B,88.0,9,200.0,19141.0,234,95.705,True,False
49119,DDD_2014B,71.0,2,22.5,1602.5,54,71.22222222222223,True,False
50069,BBB_2014B,84.83333333333333,6,44.0,3388.0,119,77.0,True,False
50263,CCC_2014B,43.0,2,11.0,634.0,34,57.63636363636363,True,False
50263,FFF_2013B,83.2,5,100.0,8300.0,164,83.0,True,False
50476,DDD_2014B,87.66666666666667,6,180.0,15667.5,234,87.04166666666667,True,False
50487,FFF_2013J,82.2,5,100.0,8300.0,172,83.0,True,False
50610,DDD_2013J,87.33333333333333,3,40.0,3470.0,-1,86.75,True,False
50993,BBB_2013B,46.22222222222222,9,81.0,2275.0,189,28.08641975308642,False,True
51030,DDD_2014B,80.33333333333333,6,180.0,13792.5,236,76.625,True,False
51033,DDD_2014J,85.42857142857143,7,200.0,14055.0,243,70.275,True,False
51153,DDD_2014J,61.714285714285715,7,200.0,11250.0,243,56.25,True,False
51163,DDD_2013J,70.85714285714286,7,200.0,15107.5,237,75.5375,True,False
51301,BBB_2013J,93.0,1,5.0,465.0,17,93.0,True,True
51485,FFF_2013J,92.8,5,100.0,9300.0,173,93.0,True,False
51576,CCC_2014B,71.0,2,11.0,928.0,29,84.36363636363636,True,False
51576,CCC_2014J,92.5,2,11.0,1042.0,28,94.72727272727273,True,False
